rank,id,level,name,sector,proxy,n_constituents,coverage,clipped,ret_1m,ret_3m,ret_6m,ret_1y,rs_1m,rs_3m,rs_6m,rs_1y,rs_score,rs_median
27,oil-gas-refining-marketing,industry,Oil & Gas Refining & Marketing,Energy,16 cons,16,1.0,0,1.9,0.8,43.0,60.6,4.6,-12.5,36.5,40.8,16.25,13.93
28,electronic-gaming-multimedia,industry,Electronic Gaming & Multimedia,Communication Services,6 cons,6,1.0,2,2.0,62.6,17.3,4.3,4.6,49.3,10.8,-15.5,15.84,-2.22
29,tools-accessories,industry,Tools & Accessories,Industrials,12 cons,12,1.0,0,8.4,16.7,27.9,49.8,11.0,3.4,21.4,30.0,15.63,8.21
30,health-information-services,industry,Health Information Services,Healthcare,32 cons,32,1.0,0,16.5,31.2,16.1,35.3,19.1,17.9,9.6,15.4,15.15,7.71
31,integrated-freight-logistics,industry,Integrated Freight & Logistics,Industrials,16 cons,16,1.0,1,1.8,18.4,22.3,59.1,4.4,5.1,15.8,39.2,14.98,9.29
32,lodging,industry,Lodging,Consumer Cyclical,7 cons,7,1.0,1,2.1,18.7,26.8,45.1,4.7,5.4,20.2,25.2,13.67,9.0
33,farm-heavy-construction-machinery,industry,Farm & Heavy Construction Machinery,Industrials,20 cons,20,1.0,0,10.9,13.8,27.1,42.6,13.5,0.5,20.6,22.7,13.59,5.32
34,drug-manufacturers-specialty-generic,industry,Drug Manufacturers - Specialty & Generic,Healthcare,37 cons,37,1.0,3,7.2,18.1,16.6,55.1,9.8,4.8,10.0,35.2,13.46,11.61
35,oil-gas-equipment-services,industry,Oil & Gas Equipment & Services,Energy,41 cons,41,1.0,2,-7.6,-3.5,36.0,69.1,-5.0,-16.8,29.4,49.2,12.63,3.85
36,specialty-industrial-machinery,industry,Specialty Industrial Machinery,Industrials,50 cons,50,1.0,1,4.4,14.1,22.5,42.3,7.0,0.8,15.9,22.4,10.92,1.9
